Країна-виробник,Модель,Перший політ,Прийнятий на озброєння,Вартість одиниці,Всього збудовано,Максимальна швидкість,Дальність польоту,Маса,Тип двигуна
США,F-14,21 грудня 1970,вересень 1974,$38 000 000,712,2 485 км/год,2 960 км,18 190 кг,Турбовентиляторний двигун General Electric F110
США,F-15,27 липня 1972,9 січня 1976,$28 000 000–30 000 000,1600,2 575 км/год,4 815 км,20 410 кг,Pratt & Whitney F100
США,F-16,20 січня 1974,17 серпня 1978,$14 600 000–18 800 000,4540,2 410 км/год,4 220 км,9 207 кг,Турбовентиляторний двигун General Electric F110
США,F/A-18,18 листопада 1978,7 січня 1983,$29 000 000–57 000 000,більше 1500,1 915 км/год,3 340 км,7 030 кг,Турбовентиляторний двигун General Electric F404
США,F-22,7 вересня 1997,15 грудня 2005,$130 000 000-180 000 000,195,2 414 км/год,3 000 км,30 206 кг,Турбовентиляторний двигун Pratt & Whitney F119
США,F-35,15 грудня 2006,2012,$83 400 000-108 100 000,700+,1 906 км/год,2 200 км,19 000 кг,ТРДДФ Pratt & Whitney F119-PW-100(SE611)
ЄС,Eurofighter Typhoon,27 березня 1994,4 серпня 2003,$90 000 000-123 000 000,926,2 495 км/год,2 900 км,11 000 кг,Турбовентиляторний двигун Eurojet EJ200
Індія,HAL Tejas,4 січня 2001,17 січня 2015,$31 000 000–31 090 000,123,2 205 км/год,3 000 км,6 500 кг,Турбовентиляторний двигун General Electric F404
Китай,Chengdu J-10,23 березня 1998,2005,$27 840 000–27 840 000,220,2 327 км/год,1 850 км,9 750 кг,Турбовентиляторний двигун АЛ-31
Китай,JF-17 Thunder,25 серпня 2003,2007,$25 000 000–32 000 000,180,1 910 км/год,2 037 км,6 586 кг,Турбовентиляторний двигун РД-93
Китай,Shenyang J-11,17 серпня 1987,2002,$200 000 000,200+,2 120 км/год,3 530 км,16 380 кг,АЛ-31
Китай,Shenyang J-15,31 серпня 2009,2013,Достеменно не відомо,50+,2 551 км/год,3 500 км,17 500 кг,АЛ-31
Орки,МіГ-29 Ψ,6 жовтня 1977,Жовтень 1983,$20 000 000,1257+,2 446 км/год,1 430 км,11 000 кг,РД-33
Орки,МиГ-31,16 вересня 1975,6 травня 1981,$20 000 000-$35 000 000,519,3 000 км/год,2 150 км,21 820 кг,Турбовентиляторний двигун Д-30
Орки,Су-27 Ψ,20 травня 1977,1982,$30 000 000,809,2 500 км/год,3 530 км,16 380 кг,Турбовентиляторний двигун АЛ-31
